,date,cwiq_code,turnover_spike10,turnover_spike10_RZS,amihud_illiquidity252,amihud_illiquidity252_ZS,beta,vol_resid20,vol_resid_DF20,vol_resid_DF20_ZS
1,04/01/2016,10038243,4.809239989,3.739059081,3.67759631,-0.080211351,0.645048139,0.007307455,-0.003567911,0.056464447
2,04/01/2016,10029434,1.42590775,0.409602153,15.50584928,1.749669419,1.023917899,0.012234343,-0.008040399,-0.553692068
3,04/01/2016,10033653,62.0612653,4.243352159,0.746514059,-0.533662175,0.615647969,0.017296475,0.008376439,1.68596521
4,04/01/2016,10009241,2.839968659,2.607143295,0.300757993,-0.602622524,1.149728489,0.011625721,-0.010286275,-0.860084472
5,04/01/2016,10036975,0.941116079,-0.26153524,0.749673677,-0.533173369,0.633149846,0.006228271,-0.006390848,-0.328653117
