,date,cwiq_code,MA10,RSI_14
1,04/01/2016,10038243,16.235,44.88517745
2,04/01/2016,10029434,43.448,34.56937799
3,04/01/2016,10033653,47.343,53.50756534
4,04/01/2016,10009241,81.01,38.68954758
5,04/01/2016,10036975,114.924,38.18181818
